num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
128	573.447684	nan	nan	0.001744	6.861550e+18	1.196543e+16	3.118694e+14	0.299741	False	0.000000	89.219485	{'tp': 4, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	211.649981	nan	nan	0.004725	6.861550e+18	3.241933e+16	3.118694e+14	0.203030	False	0.000000	131.080476	{'tp': 16, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	601.457128	nan	nan	0.001663	6.861550e+18	1.140821e+16	3.118694e+14	0.285782	False	0.000000	131.560578	{'tp': 8, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	347.348811	nan	nan	0.002879	6.861550e+18	1.975406e+16	3.118694e+14	0.247425	False	0.000000	144.603924	{'tp': 16, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	224.832460	nan	nan	0.004448	6.861550e+18	3.051850e+16	3.118694e+14	0.191126	False	0.000000	344.387248	{'tp': 64, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	534.344478	nan	nan	0.001871	6.861550e+18	1.284106e+16	3.118694e+14	0.321676	False	0.000000	215.933585	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	293.455194	nan	nan	0.003408	6.861550e+18	2.338193e+16	3.118694e+14	0.292865	False	0.000000	220.661312	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	473.752583	nan	nan	0.002111	6.861550e+18	1.448340e+16	3.118694e+14	0.362817	False	0.000000	400.050475	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	586.361106	nan	nan	0.001705	6.861550e+18	1.170192e+16	3.118694e+14	0.293139	False	0.000000	403.154050	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	173.555098	nan	nan	0.005762	6.861550e+18	3.953528e+16	3.118694e+14	0.247595	False	0.000000	272.256517	{'tp': 64, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	156.942200	nan	nan	0.006372	6.861550e+18	4.372024e+16	3.118694e+14	0.136902	False	0.000000	432.836155	{'tp': 64, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	557.390582	nan	nan	0.001794	6.861550e+18	1.231013e+16	3.118694e+14	0.308375	False	0.000000	126.863743	{'tp': 8, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	303.345948	nan	nan	0.003297	6.861550e+18	2.261955e+16	3.118694e+14	0.283316	False	0.000000	129.881690	{'tp': 16, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	556.243621	nan	nan	0.001798	6.861550e+18	1.233551e+16	3.118694e+14	0.309011	False	0.000000	81.991319	{'tp': 4, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	301.936274	nan	nan	0.003312	6.861550e+18	2.272516e+16	3.118694e+14	0.284639	False	0.000000	80.920386	{'tp': 8, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	176.264726	nan	nan	0.005673	6.861550e+18	3.892753e+16	3.118694e+14	0.243789	False	0.000000	146.362059	{'tp': 32, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	266.841782	nan	nan	0.003748	6.861550e+18	2.571393e+16	3.118694e+14	0.322074	False	0.000000	420.365001	{'tp': 64, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
